TimeElapsed,Humidity,Temperature,Target,Heater
00:00:00,NAN,NAN,NAN,NAN
00:00:10,NAN,NAN,NAN,NAN
00:00:20,7.1,-45.0,60.0,ON
00:00:30,7.2,52.2,60.0,ON
00:00:40,7.3,52.3,60.0,ON
00:00:50,7.4,52.3,60.0,ON
00:01:00,7.4,52.4,60.0,ON
00:01:10,7.3,52.4,60.0,ON
00:01:20,7.4,52.5,60.0,ON
00:01:30,7.4,52.5,60.0,ON
00:01:40,7.4,52.6,60.0,ON
00:01:50,7.3,52.6,60.0,ON
00:02:00,7.3,52.7,60.0,ON
00:02:10,7.3,52.7,60.0,ON
00:02:20,7.1,52.8,60.0,ON
00:02:30,7.1,52.8,60.0,ON
00:02:40,6.9,52.9,60.0,ON
00:02:50,7.1,52.9,60.0,ON
00:03:00,7.2,53.0,60.0,ON
00:03:10,7.1,53.0,60.0,ON
00:03:20,7.1,53.1,60.0,ON
00:03:30,7.1,53.1,60.0,ON
00:03:40,6.8,53.2,60.0,ON
00:03:50,6.9,53.2,60.0,ON
00:04:00,6.8,53.3,60.0,ON
00:04:10,6.8,53.3,60.0,ON
00:04:20,7.0,53.4,60.0,ON
00:04:30,6.9,53.5,60.0,ON
00:04:40,7.0,53.5,60.0,ON
00:04:50,6.9,53.5,60.0,ON
00:05:00,6.9,53.6,60.0,ON
00:05:10,6.8,53.7,60.0,ON
00:05:20,6.7,53.7,60.0,ON
00:05:30,6.9,53.8,60.0,ON
00:05:40,6.7,53.8,60.0,ON
00:05:50,6.9,53.9,60.0,ON
00:06:00,6.8,53.9,60.0,ON
00:06:10,6.8,54.0,60.0,ON
00:06:20,6.8,54.1,60.0,ON
00:06:30,6.8,54.1,60.0,ON
00:06:40,6.9,54.2,60.0,ON
00:06:50,7.1,54.2,60.0,ON
00:07:00,7.1,54.3,60.0,ON
00:07:10,7.1,54.3,60.0,ON
00:07:20,6.9,54.4,60.0,ON
00:07:30,7.0,54.5,60.0,ON
00:07:40,6.8,54.5,60.0,ON
00:07:50,6.9,54.6,60.0,ON
00:08:00,6.8,54.6,60.0,ON
00:08:10,6.8,54.7,60.0,ON
00:08:20,6.9,54.7,60.0,ON
00:08:30,6.8,54.8,60.0,ON
00:08:40,7.0,54.9,60.0,ON
00:08:50,6.9,54.9,60.0,ON
00:09:00,6.9,55.0,60.0,ON
00:09:10,6.9,55.1,60.0,ON
00:09:20,7.0,55.1,60.0,ON
00:09:30,6.8,55.2,60.0,ON
00:09:40,7.0,55.2,60.0,ON
00:09:50,7.1,55.3,60.0,ON
00:10:00,7.2,55.4,60.0,ON
00:10:10,7.1,55.4,60.0,ON
00:10:20,7.1,55.5,60.0,ON
00:10:30,7.3,55.5,60.0,ON
00:10:40,7.2,55.6,60.0,ON
00:10:50,7.1,55.7,60.0,ON
00:11:00,7.1,55.7,60.0,ON
00:11:10,7.3,55.8,60.0,ON
00:11:20,7.2,55.9,60.0,ON
00:11:30,7.1,55.9,60.0,ON
00:11:40,7.0,56.0,60.0,ON
00:11:50,7.2,56.0,60.0,ON
00:12:00,7.1,56.1,60.0,ON
00:12:10,7.1,56.2,60.0,ON
00:12:20,7.1,56.2,60.0,ON
00:12:30,7.2,56.3,60.0,ON
00:12:40,7.1,56.3,60.0,ON
00:12:50,7.1,56.4,60.0,ON
00:13:00,7.1,56.5,60.0,ON
00:13:10,6.9,56.5,60.0,ON
00:13:20,6.9,56.6,60.0,ON
00:13:30,6.8,56.7,60.0,ON
00:13:40,6.8,56.7,60.0,ON
00:13:50,7.0,56.8,60.0,ON
00:14:00,6.9,56.8,60.0,ON
00:14:10,6.9,56.9,60.0,ON
00:14:20,6.8,57.0,60.0,ON
00:14:30,7.0,57.0,60.0,ON
00:14:40,6.9,57.1,60.0,ON
00:14:50,6.8,57.2,60.0,ON
00:15:00,6.7,57.2,60.0,ON
00:15:10,6.7,57.3,60.0,ON
00:15:20,6.7,57.4,60.0,ON
00:15:30,6.8,57.4,60.0,ON
00:15:40,6.9,57.5,60.0,ON
00:15:50,6.6,57.5,60.0,ON
00:16:00,6.8,57.6,60.0,ON
00:16:10,6.7,57.7,60.0,ON
00:16:20,6.8,57.7,60.0,ON
00:16:30,6.8,57.8,60.0,ON
00:16:40,6.8,57.8,60.0,ON
00:16:50,6.9,57.9,60.0,ON
00:17:00,6.9,58.0,60.0,ON
00:17:10,6.9,58.0,60.0,ON
